No.,station_name,station_code,arrival_time,departure_time,notes
1,BANDUNG,BD,,06:30:00,
2,CIKUDAPATEUH,CTH,,-,
3,KIARACONDONG,KAC,06:39:00,06:41:00,
4,GEDEBAGE,GDB,,06:49:00,
5,CIMEKAR,CMK,,-,
6,RANCAEKEK,RCK,,06:55:00,
7,HAURPUGUR,HRP,,06:59:00,
8,CICALENGKA,CCL,,07:03:00,
9,NAGREG,NG,,07:16:00,"X KA 299, KA 351 (KA 299, KA 351 X)"
10,LEBAKJERO,LBJ,,07:24:00,
11,LELES,LL,,07:33:00,
12,KARANGSARI,KRAI,,07:38:00,
13,LEUWIGOONG,LO,,-,
14,CIBATU,CB,07:47:00,07:49:00,
15,WARUNGBANDREK,WB,,07:57:00,
16,BUMIWALUYA,BMW,,08:10:00,X KA 305 (KA 305 X)
17,CIPEUNDEUY,CPD,08:21:00,08:31:00,
18,CIRAHAYU,CAA,,08:43:00,
19,CIAWI,CAW,,08:50:00,
20,RAJAPOLAH,RJP,,08:58:00,
21,INDIHIANG,IH,,09:04:00,
22,TASIKMALAYA,TSM,09:09:00,09:11:00,
23,AWIPARI,AW,,09:17:00,
24,MANONJAYA,MNJ,,09:20:00,
25,CIAMIS,CI,09:31:00,09:33:00,
26,BOJONG,BJG,,09:41:00,X KA 283 (KA 283 X)
27,KARANGPUCUNG,KNP,,09:48:00,
28,BANJAR,BJR,09:54:00,09:58:00,
29,LANGEN,LN,,10:06:00,
30,MELUWUNG,MLW,,10:11:00,
31,CIPARI,CPI,,10:16:00,
32,SIDAREJA,SDR,10:22:00,10:24:00,
33,GANDRUNGMANGUN,GDM,,10:30:00,
34,KAWUNGANTEN,KWG,10:36:00,10:42:00,X KA 77 (KA 77 X)
35,JERUKLEGI,JRL,,10:55:00,
36,LEBENG,LBG,,10:59:00,
37,KASUGIHAN,KH,,11:02:00,
38,MAOS,MA,11:05:00,11:07:00,
39,SIKAMPUH,SKP,,11:12:00,X KA 199 (KA 199 X)
40,KROYA,KYA,11:18:00,11:21:00,(KA 291 X)
41,KEMRANJEN,KJ,,11:27:00,
42,SUMPIUH,SPH,,11:30:00,
43,TAMBAK,TBK,,11:33:00,
44,IJO,IJ,,11:36:00,
45,GOMBONG,GB,11:42:00,11:44:00,
46,KARANGANYAR,KA,,11:51:00,
47,SRUWENG,SRW,,11:53:00,
48,KEBUMEN,KM,12:00:00,12:02:00,
49,WONOSARI,WNS,,12:07:00,
50,KUTOWINANGUN,KWN,,12:09:00,
51,PREMBUN,PRB,,12:13:00,
52,BUTUH,BTH,,12:17:00,
53,KUTOARJO,KTA,12:22:00,12:25:00,
54,JENAR,JN,,12:34:00,
55,WOJO,WJ,,12:39:00,
56,KEDUNDANG,KDG,,12:43:00,
57,WATES,WT,12:48:00,12:50:00,
58,SENTOLO,STL,,12:58:00,
59,REWULU,RWL,,13:04:00,
60,PATUKAN,PTN,,13:07:00,
61,YOGYAKARTA,YK,13:12:00,13:17:00,
62,LEMPUYANGAN,LPN,,13:20:00,
63,MAGUWO,MGW,,13:24:00,
64,BRAMBANAN,BBN,,13:29:00,
65,SROWOT,SWT,,13:33:00,
66,KLATEN,KT,13:38:00,13:53:00,= KA 10 ( KA 10 //)
67,CEPER,CE,,14:01:00,
68,DELANGGU,DL,,14:05:00,
69,GAWOK,GW,,14:09:00,
70,PURWOSARI,PWS,,14:13:00,
71,SOLOBALAPAN,SLO,14:18:00,,
