No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabaya Pasarturi (SBI),21:57:00,22:10:00,
2,Tandes (TES),Ls,22:16:00,
3,Kandangan (KDA),Ls,22:18:00,
4,Benowo (BNW),Ls,22:22:00,
5,Cerme (CME),Ls,22:26:00,
6,Duduk (DD),Ls,22:33:00,
7,Lamongan (LMG),22:43:00,22:46:00,
8,Surabayan (SBN),Ls,22:53:00,
9,Pucuk (PC),Ls,22:59:00,
10,Gembong (GEB),Ls,23:03:00,
11,Babat (BBT),Ls,23:07:00,
12,Bowerno (BWO),Ls,23:14:00,
13,Sumberrejo (SRJ),Ls,23:23:00,
14,Kapas (KPS),Ls,23:29:00,
15,Bojonegoro (BJ),23:36:00,23:39:00,
16,Kalitidu (KIT),Ls,23:51:00,
17,Tobo (TBO),Ls,00:01:00,
18,Cepu (CU),00:08:00,00:11:00,
19,Kapuan (KPA),Ls,00:16:00,
20,Wadu (WDU),Ls,00:20:00,
21,Randublatung (RBG),Ls,00:28:00,
22,Doplang (DPL),Ls,00:38:00,
23,Sulur (SL),Ls,00:43:00,
24,Kradenan (KNN),Ls,00:49:00,
25,Panunggalan (PNL),Ls,00:56:00,
26,Jambon (JBN),Ls,01:00:00,
27,Gambringan (GBN),Ls,01:08:00,
28,Ngrombo (NBO),01:11:00,01:13:00,
29,Sedadi (SDI),Ls,01:19:00,
30,Karangjati (KGT),Ls,01:25:00,
31,Gubug (GUB),Ls,01:35:00,
32,Tegowanu (TGW),Ls,01:41:00,
33,Brumbung (BBG),Ls,01:49:00,
34,Alastua (ATA),Ls,01:55:00,
35,Semarang Tawang (SMT),02:05:00,02:15:00,
36,Semarang Poncol (SMC),Ls,02:20:00,
37,Jerakah (JRK),Ls,02:25:00,
38,Mangkang (MKG),Ls,02:30:00,
39,Kaliwungu (KLN),Ls,02:35:00,
40,Kalibodri (KBD),Ls,02:44:00,
41,Weleri (WLR),Ls,02:50:00,
42,Krengseng (KNS),Ls,02:54:00,
43,Plabuan (PLB),Ls,03:01:00,
44,Kuripan (KRP),Ls,03:06:00,
45,Ujungnegoro (UJN),Ls,03:15:00,
46,Batang (BTG),Ls,03:19:00,// KA 2535F JJ (KA 2535F JJ =)
47,Pekalongan (PK),03:28:00,03:31:00,
48,Sragi (SRI),Ls,03:41:00,
49,Comal (CO),Ls,03:44:00,
50,Petarukan (PTA),Ls,03:52:00,
51,Pemalang (PML),Ls,03:57:00,
52,Surodadi (SD),Ls,04:06:00,
53,Larangan (LR),Ls,04:13:00,
54,Tegal (TG),04:19:00,04:24:00,
55,Brebes (BB),Ls,04:33:00,
56,Tanjung (TGN),Ls,04:47:00,
57,Losari (LOS),Ls,04:53:00,
58,Babakan (BBK),Ls,04:59:00,
59,Waruduwur (WDW),Ls,05:08:00,
60,Cirebon Prujakan (CNP),Ls,05:15:00,// KA 303 (KA 303 =)
61,Cirebon (CN),05:18:00,05:23:00,
62,Cangkring (CNK),Ls,05:30:00,
63,Bangoduwa (BDW),Ls,05:33:00,
64,Arjawinangun (AWN),Ls,05:37:00,
65,Kertasemaya (KTM),Ls,05:47:00,
66,Jatibarang (JTB),Ls,05:54:00,
67,Telagasari (TLS),Ls,06:01:00,
68,Terisi (TIS),Ls,06:07:00,
69,Kadokangabus (KAB),Ls,06:11:00,
70,Cilegeh (CLH),Ls,06:17:00,
71,Haurgeulis (HGL),Ls,06:24:00,
72,Cipunegara (CRA),Ls,06:28:00,
73,Pegadenbaru (PGB),Ls,06:33:00,
74,Cikaum (CKM),Ls,06:39:00,
75,Pasirbungur (PAS),Ls,06:43:00,
76,Pringkasap (PRI),Ls,06:47:00,
77,Pabuaran (PAB),Ls,06:51:00,
78,Tanjungrasa (TJS),Ls,06:54:00,
79,Cikampek (CKP),Ls,07:02:00,
80,Dawuan (DWN),Ls,07:05:00,
81,Kosambi (KOS),Ls,07:10:00,
82,Klari (KLI),Ls,07:13:00,
83,Karawang (KW),07:19:00,07:21:00,
84,Kedunggedeh (KDH),Ls,07:26:00,
85,Lemahabang (LMB),Ls,07:32:00,
86,Cikarang (CKR),Ls,07:35:00,
87,Telaga Murni (TLM),Ls,-,
88,Cibitung (CIT),Ls,-,
89,Tambun (TB),Ls,07:43:00,// KA 6013 (KA 6013 =)
90,Bekasitimur (BKST),Ls,-,
91,Bekasi (BKS),07:49:00,07:51:00,
92,Jatinegara (JNG),08:04:00,08:06:00,
93,Pondokjati (POK),Ls,-,
94,Kramat (KMT),Ls,-,
