No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabaya Pasarturi (SBI),,12:50:00,
2,Tandes (TES),Ls,12:56:00,
3,Kandangan (KDA),Ls,12:59:00,
4,Benowo (BNW),Ls,13:03:00,
5,Cerme (CME),Ls,13:07:00,
6,Duduk (DD),Ls,13:15:00,
7,Lamongan (LMG),13:27:00,13:29:00,
8,Surabayan (SBN),Ls,13:37:00,
9,Pucuk (PC),Ls,13:44:00,
10,Gembong (GEB),Ls,13:48:00,
11,Babat (BBT),13:56:00,13:59:00,
12,Bowerno (BWO),Ls,14:07:00,
13,Sumberrejo (SRJ),Ls,14:17:00,
14,Kapas (KPS),Ls,14:24:00,
15,Bojonegoro (BJ),14:32:00,14:35:00,
16,Kalitidu (KIT),Ls,14:48:00,
17,Tobo (TBO),Ls,14:59:00,
18,Cepu (CU),15:08:00,15:11:00,
19,Kapuan (KPA),Ls,15:17:00,
20,Wadu (WDU),Ls,15:22:00,
21,Randublatung (RBG),15:34:00,15:36:00,
22,Doplang (DPL),Ls,15:49:00,
23,Sulur (SL),Ls,15:55:00,
24,Kradenan (KNN),Ls,16:02:00,
25,Panunggalan (PNL),Ls,16:11:00,
26,Jambon (JBN),Ls,16:16:00,
27,Gambringan (GBN),Ls,16:25:00,
28,Ngrombo (NBO),16:29:00,16:32:00,
29,Sedadi (SDI),Ls,16:39:00,
30,Karangjati (KGT),Ls,16:46:00,
31,Gubug (GUB),Ls,16:56:00,
32,Tegowanu (TGW),Ls,17:02:00,
33,Brumbung (BBG),Ls,17:09:00,
34,Alastua (ATA),Ls,17:14:00,
35,Semarang Tawang (SMT),Ls,17:22:00,
36,Semarang Poncol (SMC),17:27:00,17:32:00,// KA 2707 (KA 2707 =)
37,Jerakah (JRK),Ls,17:38:00,
38,Mangkang (MKG),Ls,17:43:00,
39,Kaliwungu (KLN),Ls,17:48:00,
40,Kalibodri (KBD),Ls,17:58:00,
41,Weleri (WLR),18:06:00,18:08:00,
42,Krengseng (KNS),Ls,18:13:00,
43,Plabuan (PLB),Ls,18:20:00,
44,Kuripan (KRP),Ls,18:26:00,
45,Ujungnegoro (UJN),Ls,18:35:00,
46,Batang (BTG),Ls,18:39:00,
47,Pekalongan (PK),18:48:00,18:51:00,
48,Sragi (SRI),Ls,19:02:00,
49,Comal (CO),Ls,19:05:00,
50,Petarukan (PTA),Ls,19:12:00,
51,Pemalang (PML),19:18:00,19:20:00,
52,Surodadi (SD),Ls,19:30:00,
53,Larangan (LR),Ls,19:38:00,
54,Tegal (TG),19:44:00,19:47:00,
55,Brebes (BB),19:59:00,20:01:00,
56,Tanjung (TGN),20:18:00,20:20:00,
57,Losari (LOS),Ls,20:28:00,
58,Babakan (BBK),20:36:00,20:38:00,
59,Waruduwur (WDW),Ls,20:50:00,
60,Cirebon Prujakan (CNP),21:00:00,21:06:00,
61,Cirebon (CN),Ls,21:10:00,
62,Cangkring (CNK),Ls,21:16:00,
63,Bangoduwa (BDW),Ls,21:20:00,
64,Arjawinangun (AWN),21:25:00,21:27:00,
65,Kertasemaya (KTM),Ls,21:40:00,
66,Jatibarang (JTB),21:47:00,21:49:00,
67,Telagasari (TLS),Ls,21:58:00,
68,Terisi (TIS),Ls,22:04:00,
69,Kadokangabus (KAB),Ls,22:09:00,
70,Cilegeh (CLH),Ls,22:15:00,
71,Haurgeulis (HGL),22:25:00,22:38:00,= KA 25 (KA 25 //)
72,Cipunegara (CRA),Ls,22:44:00,
73,Pegadenbaru (PGB),22:52:00,23:02:00,= KA 107 (KA 107 //)
74,Cikaum (CKM),Ls,23:11:00,
75,Pasirbungur (PAS),Ls,23:16:00,
76,Pringkasap (PRI),Ls,23:21:00,
77,Pabuaran (PAB),Ls,23:25:00,
78,Tanjungrasa (TJS),Ls,23:29:00,
79,Cikampek (CKP),23:38:00,23:40:00,
80,Dawuan (DWN),Ls,23:44:00,
81,Kosambi (KOS),Ls,23:49:00,
82,Klari (KLI),Ls,23:52:00,
83,Karawang (KW),Ls,23:57:00,
84,Kedunggedeh (KDH),Ls,00:02:00,
85,Lemahabang (LMB),Ls,00:09:00,
86,Cikarang (CKR),00:13:00,00:15:00,
87,Telaga Murni (TLM),Ls,-,
88,Cibitung (CIT),Ls,-,
89,Tambun (TB),Ls,00:24:00,
90,Bekasitimur (BKST),Ls,-,
91,Bekasi (BKS),00:31:00,00:33:00,
92,Jatinegara (JNG),00:46:00,00:48:00,
93,Pondokjati (POK),Ls,-,
94,Kramat (KMT),Ls,-,
95,Gangsentiong (GST),Ls,-,
96,Pasarsenen (PSE),00:58:00,,
