No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabaya Pasarturi (SBI),,20:15:00,
2,Tandes (TES),Ls,20:20:00,
3,Kandangan (KDA),Ls,20:22:00,// KA 483 (KA 483 =)
4,Benowo (BNW),Ls,20:25:00,
5,Cerme (CME),Ls,20:28:00,
6,Duduk (DD),Ls,20:34:00,
7,Lamongan (LMG),20:43:00,20:45:00,
8,Surabayan (SBN),Ls,20:51:00,
9,Pucuk (PC),Ls,20:57:00,
10,Gembong (GEB),Ls,21:00:00,
11,Babat (BBT),Ls,21:03:00,
12,Bowerno (BWO),Ls,21:09:00,
13,Sumberrejo (SRJ),Ls,21:17:00,
14,Kapas (KPS),Ls,21:21:00,
15,Bojonegoro (BJ),21:27:00,21:29:00,
16,Kalitidu (KIT),Ls,21:39:00,
17,Tobo (TBO),Ls,21:48:00,
18,Cepu (CU),21:53:00,21:55:00,
19,Kapuan (KPA),Ls,22:00:00,
20,Wadu (WDU),Ls,22:04:00,
21,Randublatung (RBG),Ls,22:11:00,
22,Doplang (DPL),Ls,22:20:00,
23,Sulur (SL),Ls,22:25:00,
24,Kradenan (KNN),Ls,22:31:00,
25,Panunggalan (PNL),Ls,22:37:00,
26,Jambon (JBN),Ls,22:40:00,
27,Gambringan (GBN),Ls,22:47:00,// KA 2535F JJ (KA 2535F JJ =)
28,Ngrombo (NBO),Ls,22:49:00,
29,Sedadi (SDI),Ls,22:52:00,
30,Karangjati (KGT),Ls,22:57:00,
31,Gubug (GUB),Ls,23:04:00,
32,Tegowanu (TGW),Ls,23:08:00,
33,Brumbung (BBG),Ls,23:13:00,
34,Alastua (ATA),Ls,23:17:00,
35,Semarang Tawang (SMT),23:25:00,23:30:00,
36,Semarang Poncol (SMC),Ls,23:35:00,
37,Jerakah (JRK),Ls,23:39:00,
38,Mangkang (MKG),Ls,23:43:00,
39,Kaliwungu (KLN),Ls,23:47:00,
40,Kalibodri (KBD),Ls,23:55:00,
41,Weleri (WLR),Ls,00:00:00,
42,Krengseng (KNS),Ls,00:03:00,
43,Plabuan (PLB),Ls,00:09:00,
44,Kuripan (KRP),Ls,00:14:00,
45,Ujungnegoro (UJN),Ls,00:22:00,
46,Batang (BTG),Ls,00:25:00,
47,Pekalongan (PK),00:33:00,00:35:00,
48,Sragi (SRI),Ls,00:44:00,
49,Comal (CO),Ls,00:47:00,
50,Petarukan (PTA),Ls,00:53:00,
51,Pemalang (PML),Ls,00:57:00,
52,Surodadi (SD),Ls,01:04:00,
53,Larangan (LR),Ls,01:10:00,
54,Tegal (TG),01:15:00,01:17:00,
55,Brebes (BB),Ls,01:25:00,
56,Tanjung (TGN),Ls,01:36:00,
57,Losari (LOS),Ls,01:41:00,
58,Babakan (BBK),Ls,01:46:00,
59,Waruduwur (WDW),Ls,01:53:00,
60,Cirebon Prujakan (CNP),Ls,01:59:00,
61,Cirebon (CN),02:02:00,02:07:00,
62,Cangkring (CNK),Ls,02:14:00,
63,Bangoduwa (BDW),Ls,02:17:00,
64,Arjawinangun (AWN),Ls,02:20:00,
65,Kertasemaya (KTM),Ls,02:29:00,
66,Jatibarang (JTB),Ls,02:34:00,
67,Telagasari (TLS),Ls,02:40:00,
68,Terisi (TIS),Ls,02:45:00,
69,Kadokangabus (KAB),Ls,02:49:00,
70,Cilegeh (CLH),Ls,02:54:00,
71,Haurgeulis (HGL),Ls,03:00:00,
72,Cipunegara (CRA),Ls,03:04:00,
73,Pegadenbaru (PGB),Ls,03:09:00,
74,Cikaum (CKM),Ls,03:14:00,
75,Pasirbungur (PAS),Ls,03:18:00,
76,Pringkasap (PRI),Ls,03:22:00,
77,Pabuaran (PAB),Ls,03:26:00,
78,Tanjungrasa (TJS),Ls,03:29:00,
79,Cikampek (CKP),Ls,03:36:00,
80,Dawuan (DWN),Ls,03:39:00,
81,Kosambi (KOS),Ls,03:43:00,
82,Klari (KLI),Ls,03:45:00,
83,Karawang (KW),Ls,03:49:00,
84,Kedunggedeh (KDH),Ls,03:53:00,
85,Lemahabang (LMB),Ls,03:59:00,
86,Cikarang (CKR),Ls,04:02:00,
87,Telaga Murni (TLM),Ls,-,
88,Cibitung (CIT),Ls,-,
89,Tambun (TB),Ls,04:08:00,
90,Bekasitimur (BKST),Ls,-,
91,Bekasi (BKS),04:14:00,04:16:00,
92,Jatinegara (JNG),04:28:00,04:30:00,
93,Matraman (MTR),Ls,-,
94,Manggarai (MRI),Ls,04:35:00,
95,Cikini (CKI),Ls,-,
96,Gondangdia (GDD),Ls,-,
97,Gambir (GMR),04:45:00,,
